"WeekSubWeek","ti","tf","iflux","fflux","changeflux","maxQ","minQ","dryHrsIni","dryHrsMax","dryHrsAve","noEventHrsIni","noEventHrsMax","noEventHrsAve","Duration.Hrs","chExtreme","Event","Markers","TimeDiff","AveDischarge.m3.h","Volume.m3","Sampled.Hrs","Sampled","CumRain.mm","RainInt.mmhr","Conc.mug.L","Conc.SD","Vol.SPE.L","Conc.in500uL","OXA_mean","OXA_SD","ESA_mean","ESA_SD","N.x","diss.d13C","SD.d13C","N_d13C.diss","MES.mg.L","MES.sd","MO.mg.L","Conc.Solids.mug.gMES","Conc.Solids.ug.gMES.SD","N.y","filt.d13C","filt.SD.d13C","DD13C.diss","DD13C.filt","ExpMES.Kg","SMoutApprox","TPoutApprox","DissSmeto.mg","DissSmeto.mg.SD","DissSmeto.g","DissSmeto.g.SD","DissOXA.mg","DissOXA.mg.SD","DissOXA.g","DissOXA.g.SD","DissESA.mg","DissESA.mg.SD","DissESA.g","DissESA.g.SD","FiltSmeto.mg","FiltSmeto.mg.SD","FiltSmeto.g","FiltSmeto.g.SD","TotSMout.mg","TotSMout.mg.SD","TotSMout.g","TotSMout.g.SD","FracDiss","FracFilt","MELsm.g","MELsm.g.SD","CumOutDiss.g","CumOutFilt.g","CumOutSmeto.g","CumOutMELsm.g"
"W0-0x",2016-03-25 00:04:00,2016-03-25 12:02:00,1.2486,1.12922717826974,-0.11937282173026,1.2486,1.11829637779678,0.0166666666666667,2.75,0.744953703703704,0.0166666666666667,6,3.00833333333333,11.9666666666667,-0.13030362220322,NA,NA,NA,1.20477462754017,14.4171363762307,11.9666666666667,"Not Sampled",2.8,0.233983286908078,0.245659365,0.01931,0.57,NA,4.8241,1.1414,18.0553,3.4972,NA,NA,NA,NA,NA,NA,NA,0.64472898635092,0.0232375477245465,NA,NA,NA,NA,NA,5.35273262511153,FALSE,FALSE,3.54170456730323,0.278394903425015,0.00354170456730323,0.000278394903425015,69.5497075925745,16.4557194598297,0.0695497075925745,0.0164557194598297,260.305722413758,50.419609334954,0.260305722413758,0.050419609334954,3.45106187959565,0.124384379832766,0.00345106187959565,0.000124384379832766,6.99276644689889,0.215609828393101,0.00699276644689889,0.000215609828393101,0.506481175111159,0.493518824888841,0.302126414997427,0.0268946967758213,0.00354170456730323,0.00345106187959565,0.00699276644689889,0.302126414997427
"W0-1",2016-03-25 12:04:00,2016-03-28 22:36:00,1.12438174261579,1.31312483924058,0.18874309662479,1.38038798407296,1.08219916927402,0.0333333333333333,24.5166666666667,7.8272574350693,6.01666666666667,47.2833333333333,26.65,82.5333333333333,0.25600624145717,NA,NA,NA,1.21351066613737,100.155080311871,82.5333333333333,"Sampled",7.6,0.0920840064620355,0.245659365,0.01931,0.57,140.025838,4.8241,1.1414,18.0553,3.4972,NA,NA,NA,NA,53.44444444,NA,0,0.64472898635092,0.0232375477245465,NA,NA,NA,NA,NA,5.35273262511153,FALSE,FALSE,24.6040334309382,1.93399460082223,0.0246040334309382,0.00193399460082223,483.158122932497,114.31700866797,0.483158122932497,0.11431700866797,1808.33002155492,350.262346866675,1.80833002155492,0.350262346866675,3.45106187959565,0.124384379832766,0.00345106187959565,0.000124384379832766,28.0550953105339,1.37036611713,0.0280550953105339,0.00137036611713,0.876989835842765,0.123010164157235,2.0783328690609,0.186835703253323,0.0281457379982415,0.00690212375919131,0.0350478617574328,2.38045928405832
"W0-2x",2016-03-28 22:38:00,2016-03-30 12:16:00,1.30809987139246,1.45634948147711,0.14824961008465,1.63778159364155,0.929054964110753,0.266666666666667,13.3166666666667,4.85918879056047,47.3,66.1166666666667,56.7083333333333,37.6333333333333,0.32968172224909,NA,NA,NA,1.28471939896462,48.3482733810351,37.6333333333333,"Not Sampled",7.6,0.201948627103632,3.5169528435,0.154365,NA,NA,17.67765,5.66335,32.01945,3.2671,NA,NA,NA,NA,NA,NA,NA,0.385309361091339,0.0251506164789869,NA,NA,NA,NA,NA,14.8753430346607,TRUE,TRUE,170.038597545747,7.46328122046348,0.170038597545747,0.00746328122046348,854.683854934255,273.813194052485,0.854683854934255,0.273813194052485,1548.08512211038,157.95864396318,1.54808512211038,0.15795864396318,5.73160892069961,0.374124047658121,0.00573160892069961,0.000374124047658121,175.770206466446,5.28396325586955,0.175770206466446,0.00528396325586955,0.967391465050172,0.032608534949828,2.37909424907904,0.178859725476898,0.198184335543988,0.0126337326798909,0.210818068223879,4.75955353313736
"W1-1",2016-03-30 12:18:00,2016-03-31 15:34:00,1.45607958518169,16.445436176296,14.9893565911143,38.3997898080141,1.44897674761303,0.116666666666667,4.2,1.28856328856329,66.1333333333333,72.1,30.3955026455026,27.2666666666667,36.9437102228324,1,16.8897189482269,"24",14.3166474978249,390.367255107358,27.2666666666667,"Sampled",16.8,0.616136919315403,6.788246322,0.28942,1.91,12965.55048,30.5312,10.1853,45.9836,3.037,3,-31.4666666666667,0.115470053837927,3,62.5,NA,0.001,0.125889735831757,0.0270636852334274,NA,NA,NA,0.833333333333332,NA,24.3979534442099,FALSE,FALSE,2649.90908371176,112.980090973172,2.64990908371176,0.112980090973172,11918.3807391338,3976.00760344497,11.9183807391338,3.97600760344497,17950.4917119547,1185.54535376105,17.9504917119547,1.18554535376105,3.07145191392709,0.660298532353912,0.00307145191392709,0.000660298532353912,2652.98053562569,79.8903528295437,2.65298053562569,0.0798903528295437,0.998842263683174,0.00115773631682628,30.241337312121,2.40622456660216,2.84809341925575,0.015705184593818,2.86379860384957,35.0008908452584
"W1-2",2016-03-31 15:36:00,2016-04-01 14:44:00,16.3343489410368,15.1845358179938,-1.149813123043,18.6689719182762,13.2011134373946,4.21666666666667,5.43333333333333,1.31424460431655,1.65,6.36666666666667,3.32908872901679,23.1333333333333,-3.1332355036422,NA,NA,NA,15.5292991375118,359.244453381107,23.1333333333333,"Sampled",6,0.259365994236311,6.560998197,0.19064,1.91,12531.50656,32.4925,0.2431,41.2805,0.8534,3,-31.6666666666667,0.152752523165195,3,22.5,NA,1e-04,0.435787160684896,0.123237063866661,NA,NA,NA,0.633333333333329,NA,8.08300020107491,FALSE,FALSE,2357.00221091569,68.4863625925742,2.35700221091569,0.0684863625925742,11672.7504014856,87.3323266169471,11.6727504014856,0.0873323266169471,14829.7906577988,306.579216515437,14.8297906577988,0.306579216515437,3.52246770744188,0.996125212014102,0.00352246770744188,0.000996125212014102,2360.52467862314,48.4322935994134,2.36052467862314,0.0484322935994134,0.998507760694331,0.00149223930566847,27.0082194606707,0.163414427027476,5.20509563017144,0.0192276523012599,5.2243232824727,62.0091103059291
"W1-3x",2016-04-01 14:46:00,2016-04-05 15:06:00,15.203628654395,5.85637980077503,-9.34724885361997,15.8956400764712,5.47104244868041,3.41666666666667,29.7166666666667,9.46991813674622,6.26666666666667,54.4333333333333,30.35,96.3333333333333,-9.73258620571459,NA,NA,NA,9.1077197661138,877.377004135629,96.3333333333333,"Not Sampled",9.4,0.0975778546712803,8.002650037,0.26209,NA,NA,68.5169,0.69785,69.92415,1.8398,NA,NA,NA,NA,NA,NA,NA,0.257569915876865,0.0639603914951228,NA,NA,NA,NA,NA,7.93575534028406,TRUE,TRUE,7021.34111460894,229.951739013907,7.02134111460894,0.229951739013907,60115.1524546605,612.277542336049,60.1151524546605,0.612277542336049,61349.8412437303,1614.19821220873,61.3498412437303,1.61419821220873,2.04401183541634,0.50757401837408,0.00204401183541634,0.00050757401837408,7023.38512644436,162.600830113047,7.02338512644436,0.162600830113047,0.999708970560689,0.000291029439311288,121.00407870012,0.885256000770744,12.2264367447804,0.0212716641366762,12.2477084089171,183.013189006049
"W2-1",2016-04-05 15:08:00,2016-04-06 14:50:00,5.87010384062002,14.1442199697064,8.27411612908638,19.1639337349349,5.87010384062002,0.516666666666667,5.85,2.13349719101124,54.45,55.1166666666667,7.15051498127341,23.7,13.2938298943149,2,14.1107970978894,"136",14.6057392958147,346.156021310809,23.7,"Sampled",5.4,0.227848101265823,9.444301877,0.33354,1.8,16999.74338,104.5413,1.1526,98.5678,2.8262,3,-31.1333333333333,0.0577350269189613,3,22.5,NA,1e-04,0.0793526710688331,0.00468371912358462,3,-28.2533333333333,1.77894163291923,1.16666666666666,4.04666666666666,7.7885104794932,FALSE,FALSE,3269.20196180053,115.456879348007,3.26920196180053,0.115456879348007,36187.6004706597,398.979430162839,36.1876004706597,0.398979430162839,34119.8374773596,978.306147428608,34.1198374773596,0.978306147428608,0.618039110195384,0.0364791954770415,0.000618039110195384,3.64791954770415e-05,3269.82000091072,81.6403463965949,3.26982000091072,0.0816403463965949,0.999810986809664,0.000189013190335629,69.4588880550795,0.54243154846958,15.4956387065809,0.0218897032468716,15.5175284098278,252.472077061129
"W2-2",2016-04-06 14:52:00,2016-04-08 00:36:00,14.0253759757651,8.06118184572568,-5.96419413003942,14.316238838125,7.6599467300627,5.86666666666667,12.2833333333333,4.79378084896347,9.68333333333333,26.55,18.1166666666667,33.7333333333333,-6.3654292457024,NA,NA,NA,10.5582550913991,356.165138416531,33.7333333333333,"Sampled",0.8,0.0237154150197628,1.042188295,0.03904,2.025,2110.431298,26.8858,0.61,51.9525,0.191,5,-31.28,0.506951674225463,5,5,NA,1e-04,0.0507526961009355,0.00102720522480505,3,-28.6933333333333,2.5730202745671,1.02,3.60666666666666,1.78082569208266,FALSE,FALSE,371.191138344763,13.9046870037814,0.371191138344763,0.0139046870037814,9575.78467843917,217.260734434084,9.57578467843917,0.217260734434084,18503.6693535848,68.0275414375574,18.5036693535848,0.0680275414375574,0.0903817051590091,0.00182927345537437,9.03817051590091e-05,1.82927345537437e-06,371.281520049923,9.83209855573488,0.371281520049922,0.00983209855573488,0.999756568263492,0.000243431736507803,26.0566152560216,0.131986938365792,15.8668298449257,0.0219800849520306,15.8888099298777,278.52869231715
"W2-3x",2016-04-08 00:38:00,2016-04-14 13:50:00,8.06114547658054,4.64225281420218,-3.41889266237836,8.06581310501155,4.27978068826177,6.01666666666667,54.0166666666667,23.3338418320176,26.5666666666667,104.666666666667,65.6166666666667,157.2,-3.78136478831877,NA,NA,NA,14.6057392958147,346.156021310809,23.7,"Not Sampled",5.4,0.227848101265823,4.9389620475,0.25495,NA,NA,35.98325,1.63445,37.99985,0.25895,NA,NA,NA,NA,NA,NA,NA,0.0662637828790139,0.0011851472776953,NA,NA,NA,NA,NA,52.2073142124209,TRUE,TRUE,1709.65145176769,88.2524776331908,1.70965145176769,0.0882524776331908,12455.8186538322,565.774709031452,12.4558186538322,0.565774709031452,13153.8768864075,89.637101718434,13.1538768864075,0.089637101718434,3.45945413366831,0.0618733563146335,0.00345945413366831,6.18733563146335e-05,1713.11090590136,62.403940727766,1.71311090590136,0.062403940727766,0.997980601184809,0.00201939881519119,25.7111868343108,0.336792586037647,17.5764812966934,0.0254395390856989,17.6019208357791,304.239879151461
"W3-1",2016-04-14 13:52:00,2016-04-16 18:30:00,4.66140225136175,23.7885730891726,19.1271708378109,32.594246195365,3.62027978020054,27.6,29.4333333333333,3.55566455696203,104.683333333333,125.866666666667,92.8036708860759,52.6333333333333,27.9328439440033,3,16.9048084951297,"256",9.87330254521857,519.664823963337,52.6333333333333,"Sampled",20,0.379987333755542,8.8357358,0.47086,1.18,10426.16824,45.0807,2.6589,24.0472,0.3269,3,-30.9666666666667,0.115470053837927,3,197.5,NA,0.0058,0.0817748696570922,0.00134308933058554,NA,NA,NA,1.33333333333333,NA,102.633802732759,FALSE,FALSE,4591.62108909355,244.689379011377,4.59162108909355,0.244689379011377,23426.854029644,1381.73680043612,23.426854029644,1.38173680043612,12496.4839548112,169.878430953615,12.4964839548112,0.169878430953615,8.39286584088308,0.13784636540779,0.00839286584088308,0.00013784636540779,4600.01395493444,173.021546638842,4.60001395493444,0.173021546638842,0.998175469482678,0.00182453051732159,39.1776369661999,0.821001564573542,22.1681023857869,0.033832404926582,22.2019347907135,343.417516117661
"W3-2",2016-04-16 18:32:00,2016-04-17 09:00:00,23.7524584713381,79.9810226532562,56.2285641819181,79.9810226532562,19.8333796266195,0.316666666666667,1.38333333333333,0.249272030651341,0,0,0,14.4666666666667,56.2285641819181,4,67.2779591935531,"19",48.7382907874278,705.080606724789,14.4666666666667,"Sampled",12.4,0.857142857142857,10.73573241,0.9381,2.455,26356.22308,200.6497,6.7615,150.843,2.2178,3,-30.8,0.173205080756888,3,52.5,NA,6e-04,0.167069013356504,0.00940750353510219,NA,NA,NA,1.5,NA,37.0167318530514,FALSE,FALSE,7569.55672127778,661.436117168525,7.56955672127778,0.661436117168525,141474.212215147,4767.40252236966,141.474212215147,4.76740252236966,106356.473960187,1563.72776959424,106.356473960187,1.56372776959424,6.18434886837158,0.348235035765511,0.00618434886837158,0.000348235035765511,7575.74107014615,467.706028592007,7.57574107014615,0.467706028592007,0.999183664170791,0.00081633582920915,243.027290812769,2.91535066848416,29.7376591070647,0.0400167537949536,29.7776758608596,586.44480693043
"W3-2.1x",2016-04-17 09:02:00,2016-04-18 20:28:00,80.051818122605,18.6875377568462,-61.3642803657588,83.6282317414948,18.4765728616059,0.0833333333333333,5.26666666666667,2.13847117794486,0,0,0,35.4333333333333,-61.5752452609991,NA,NA,NA,50.4075455687542,1786.10736465286,35.4333333333333,"Not Sampled",1.2,0.0338664158043274,5.803784009,0.47845,NA,NA,106.2019,3.75135,84.4634,1.52005,NA,NA,NA,NA,NA,NA,NA,0.0991528778545592,0.00497688161091986,NA,NA,NA,NA,NA,59.9805605350615,TRUE,TRUE,10366.1813613294,854.563068618161,10.3661813613294,0.854563068618161,189687.995730127,6700.31386239051,189.687995730127,6.70031386239051,150860.70078362,2714.97249964058,150.86070078362,2.71497249964058,5.94724519238094,0.298516148739613,0.00594724519238094,0.000298516148739613,10372.1286065218,604.267377639228,10.3721286065218,0.604267377639228,0.999426612856628,0.00057338714337204,333.186078502915,4.17084054809408,40.1038404683941,0.0459639989873345,40.1498044673814,919.630885433345
"W3-3",2016-04-18 20:30:00,2016-04-21 09:10:00,18.669630205477,6.44987591658121,-12.2197542888958,18.8789041643816,6.30149765799847,4.8,35.1333333333333,19.9666666666667,0,30.0666666666667,14.9012538898041,60.6666666666667,-12.3681325474785,NA,NA,NA,9.94338332272586,603.231921578702,60.6666666666667,"Sampled",0,0,0.871835608,0.0188,1.275,1111.5904,11.7541,0.7412,18.0838,0.8223,3,-31.4333333333333,0.493288286231624,3,137.5,NA,0.0016,0.0312367423526143,0.00054625968673754,NA,NA,NA,0.866666666666664,NA,82.9443892170715,FALSE,FALSE,525.919069114576,11.3407601256796,0.525919069114576,0.0113407601256796,7090.44832942822,447.115500274134,7.09044832942822,0.447115500274134,10908.7254234449,496.037609114167,10.9087254234449,0.496037609114167,2.59091251556862,0.0453091760703541,0.00259091251556862,4.53091760703541e-05,528.509981630145,8.01919238918859,0.528509981630145,0.00801919238918859,0.995097703722497,0.00490229627750297,17.1393493913872,0.360274315630885,40.6297595375087,0.0485549115029031,40.6783144490116,936.770234824732
"W4-1",2016-04-21 09:12:00,2016-04-23 06:36:00,6.38330073326497,7.26633998353306,0.88303925026809,8.26383188924855,6.0459800710562,35.15,57.85,46.5,30.0833333333333,52.7833333333333,41.4333333333333,45.4,1.88053115598358,NA,NA,NA,7.09895752109559,322.29267145774,45.4,"Sampled",0,0,0.501218996,0.00929,0.47,235.572928,0.8028,0.2452,5.0475,0.4688,NA,NA,NA,NA,242.5,NA,0.002,0.628218074611827,0.0167433481060712,NA,NA,NA,NA,NA,78.155972828502,FALSE,FALSE,161.539209206206,2.9940989178424,0.161539209206206,0.00299409891784241,258.736556646274,79.0261630414379,0.258736556646274,0.0790261630414378,1626.77225918294,151.090804379389,1.62677225918294,0.151090804379389,49.0989947697358,1.30859265963625,0.0490989947697358,0.00130859265963625,210.638203975942,2.31052408326325,0.210638203975942,0.00231052408326325,0.766903658296747,0.233096341703253,1.87634183267764,0.0883698069238406,40.7912987467149,0.0976539062726389,40.8889526529875,938.64657665741
"W4-2x",2016-04-23 06:38:00,2016-04-26 11:48:00,7.29887198682645,7.76030572537674,0.46143373855029,7.98674227467689,4.82164374089334,57.8666666666667,58.8166666666667,5.17696459412781,52.8,91.3833333333333,72.0916666666667,77.1666666666667,0.68787028785044,NA,NA,NA,6.30793958403137,486.762671234421,77.1666666666667,"Not Sampled",6.8,0.0881209503239741,2.0441044175,0.04322,NA,NA,1.0274,0.66615,4.4497,0.4689,NA,NA,NA,NA,NA,NA,NA,0.32415680967923,0.0087912290478573,NA,NA,NA,NA,NA,50.6852446119225,TRUE,TRUE,994.99372654438,21.0378826507517,0.99499372654438,0.0210378826507517,500.099968426244,324.25695344281,0.500099968426244,0.32425695344281,2165.9478581918,228.24301654182,2.1659478581918,0.22824301654182,16.4299671912122,0.445585594730086,0.0164299671912122,0.000445585594730086,1011.42369373559,14.8793657954402,1.01142369373559,0.0148793657954402,0.983755603815717,0.0162443961842833,3.38730224666992,0.22172974370574,41.7862924732593,0.114083873463851,41.9003763467231,942.03387890408
"W5-1",2016-04-26 11:50:00,2016-05-01 10:44:00,7.6838445803014,17.6291371224501,9.9452925421487,32.4655416104866,5.53177724734016,1.28333333333333,16.75,3.75931894618834,91.4,145.866666666667,108.694506726457,118.9,24.7816970301852,5,12.8017687826134,"333.333333333333",7.80976161323569,928.580655813724,118.9,"Sampled",30.4,0.255677039529016,3.586989839,0.07715,0.8,2869.591871,1.252,1.0871,3.8519,0.469,3,-31.4333333333333,0.208166599946614,3,25,21.21320344,0.004,0.0200955447466337,0.00083910998964341,NA,NA,NA,0.866666666666664,NA,23.2145163953431,FALSE,FALSE,3330.80937709578,71.6399975960288,3.33080937709578,0.0716399975960288,1162.58298107878,1009.4600309351,1.16258298107878,1.0094600309351,3576.79982812888,435.504327576637,3.57679982812888,0.435504327576636,0.466508352994079,0.0194795326120731,0.000466508352994079,1.94795326120731e-05,3331.27588544878,50.6571299769894,3.33127588544878,0.0506571299769894,0.999859961057254,0.000140038942746176,7.59686308488592,0.631258101103926,45.117101850355,0.114550381816845,45.2316522321719,949.630741988965
