layers ,5
z0 ,10
z1 ,300
z2 ,1200
z3 ,1510
z4 ,1510
z3_factor ,0.96
k_g ,3650
c0 ,0.25
c1 ,0.25
c2 ,0.25
c3 ,0.25
c4 ,0.25
c_adr ,0.20
gamma0 ,0.8063
gamma1 ,0.6063
gamma2 ,0.4063
gamma3 ,0.4063
gamma4 ,0.0
wp_zAll ,0.19
fc_z3 ,0.38702
sat_z3 ,0.530248
W100_30mm ,0.42
W100_1550mm ,0.40
W100_1555mm ,0.38
p_bZ ,1.5
f_oc ,0.021
k_oc ,120
k_cp ,42600.00
molar ,283.796
k_aged ,0.0005
dt_50_ab ,138
dt_50_ref ,32
epsilon_iso ,-1.37
temp_ref ,20
beta_runoff ,1
beta_moisture ,0.5
f_transp ,0.40
activation_e ,23.91
r_gas ,0.008314
r_standard ,0.0112372
ave_outlet_q_m3day ,260.07
ave_outlet_conc_ugL ,2.304
ave_outlet_lnconc_ugL ,-0.419
ave_outlet_delta ,-30.52
ave_north_compConc_ugg ,2.09
ave_valley_compConc_ugg ,2.50
ave_south_compConc_ugg ,2.45
ave_north_compIso_delta ,-30.33
ave_valley_compIso_delta ,-29.98
ave_south_compIso_delta ,-28.86